id,official_name,name,maker,barcode,base_amount,base_unit,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,salt_g,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_c_mg,saturated_fat_g
mext_01001,アマランサス　玄穀,アマランサス　玄穀,,,100,g,343,12.7,6,64.9,7.4,0,160,9.4,,1.3,0.04,0.14,0,
mext_01002,あわ　精白粒,あわ　精白粒,,,100,g,346,11.2,4.4,69.7,3.3,0,14,4.8,0,0.6,0.56,0.07,0,
mext_01003,あわ　あわもち,あわ　あわもち,,,1,個,105,2.55,0.65,22.65,0.75,0,2.5,0.35,0,0.05,0.04,0.005,0,
mext_01004,えんばく　オートミール,えんばく　オートミール,,,100,g,350,13.7,5.7,69.1,9.4,0,47,3.9,0,0.6,0.2,0.08,0,
mext_01005,おおむぎ　七分つき押麦,おおむぎ　七分つき押麦,,,100,g,343,10.9,2.1,72.1,10.3,0,23,1.3,0,0.2,0.22,0.07,0,
mext_01006,おおむぎ　押麦　乾,おおむぎ　押麦　乾,,,100,g,329,6.7,1.5,78.3,12.2,0,21,1.1,0,0.1,0.11,0.03,0,
mext_01170,おおむぎ　押麦　めし,おおむぎ　押麦　めし,,,100,g,118,2.2,0.5,28.5,4.2,0,6,0.4,0,,0.02,,0,
mext_01007,おおむぎ　米粒麦,おおむぎ　米粒麦,,,100,g,333,7,2.1,76.2,8.7,0,17,1.2,0,0.1,0.19,0.05,0,
mext_01008,おおむぎ　大麦めん　乾,おおむぎ　大麦めん　乾,,,100,g,343,12.9,1.7,68,6.3,2.8,27,2.1,0,,0.21,0.04,0,
mext_01009,おおむぎ　大麦めん　ゆで,おおむぎ　大麦めん　ゆで,,,100,g,121,4.8,0.6,24.3,2.5,0.2,12,0.9,0,,0.04,0.01,0,
mext_01010,おおむぎ　麦こがし,おおむぎ　麦こがし,,,100,g,368,12.5,5,77.1,15.5,0,43,3.1,0,0.5,0.09,0.1,0,
mext_01167,キヌア　玄穀,キヌア　玄穀,,,100,g,344,13.4,3.2,69,6.2,0.1,46,4.3,1,2.6,0.45,0.24,0,
mext_01011,きび　精白粒,きび　精白粒,,,100,g,353,11.3,3.3,70.9,1.6,0,9,2.1,0,,0.34,0.09,0,
mext_01012,こむぎ　［玄穀］　国産　普通,こむぎ　［玄穀］　国産　普通,,,100,g,329,10.8,3.1,72.1,14,0,26,3.2,0,1.2,0.41,0.09,0,
mext_01013,こむぎ　［玄穀］　輸入　軟質,こむぎ　［玄穀］　輸入　軟質,,,100,g,344,10.1,3.3,75.2,11.2,0,36,2.9,0,1.2,0.49,0.09,0,
mext_01014,こむぎ　［玄穀］　輸入　硬質,こむぎ　［玄穀］　輸入　硬質,,,100,g,332,13,3,69.4,11.4,0,26,3.2,0,1.2,0.35,0.09,0,
mext_01015,こむぎ　［小麦粉］　薄力粉　1等,こむぎ　［小麦粉］　薄力粉　1等,,,100,g,349,8.3,1.5,75.8,2.5,0,20,0.5,0,0.3,0.11,0.03,0,
mext_01016,こむぎ　［小麦粉］　薄力粉　2等,こむぎ　［小麦粉］　薄力粉　2等,,,100,g,345,9.3,1.9,74.3,2.6,0,23,0.9,0,1,0.21,0.04,0,
mext_01018,こむぎ　［小麦粉］　中力粉　1等,こむぎ　［小麦粉］　中力粉　1等,,,100,g,337,9,1.6,75.1,2.8,0,17,0.5,0,0.3,0.1,0.03,0,
mext_01019,こむぎ　［小麦粉］　中力粉　2等,こむぎ　［小麦粉］　中力粉　2等,,,100,g,346,9.7,1.8,74,2.1,0,24,1.1,0,0.8,0.22,0.04,0,
mext_01020,こむぎ　［小麦粉］　強力粉　1等,こむぎ　［小麦粉］　強力粉　1等,,,100,g,337,11.8,1.5,71.7,2.7,0,17,0.9,0,0.3,0.09,0.04,0,
